"ENTREZID","logFC","p.value","FDR","significance"
"2581",0.985370108537592,0.00214238850462672,0.427011774709758,"not significant"
"25897",-0.801670320594355,0.00356562648636079,0.427011774709758,"not significant"
"259266",3.16999969004836,0.00377514653730844,0.427011774709758,"not significant"
"26037",0.85936301118556,0.0028309183291303,0.427011774709758,"not significant"
"26108",-1.43914513765357,0.00525678881919261,0.427011774709758,"not significant"
"26112",-1.29102039137303,0.00453950901520683,0.427011774709758,"not significant"
"26137",-1.14828444891761,0.00259182808716502,0.427011774709758,"not significant"
"26255",0.884100712805378,0.00237542201423265,0.427011774709758,"not significant"
"2674",-0.923845418070827,0.00457909854262703,0.427011774709758,"not significant"
"26960",-3.09201657472103,0.00286814296665083,0.427011774709758,"not significant"
"2719",-0.557274178948602,0.00490191284224674,0.427011774709758,"not significant"
"27303",-1.53175854837754,0.00477416974601017,0.427011774709758,"not significant"
"2767",-0.62947256481994,0.00473596802381878,0.427011774709758,"not significant"
"277",-0.650872103676464,0.00150730746827487,0.427011774709758,"not significant"
"279",-1.14850306384297,0.00115592130736549,0.427011774709758,"not significant"
"283431",0.929543787292979,0.0049279602817444,0.427011774709758,"not significant"
"285671",-1.50370473862764,0.00177578282500372,0.427011774709758,"not significant"
"28986",-0.500060875006153,0.0048151306954685,0.427011774709758,"not significant"
"29091",-0.974925460362669,0.00539175915907711,0.427011774709758,"not significant"
"29128",0.548822354048008,0.00394010042978961,0.427011774709758,"not significant"
"2934",-0.989270476515059,0.00413191355941666,0.427011774709758,"not significant"
"2949",-0.785239024662504,0.00415693320396642,0.427011774709758,"not significant"
"29887",0.917134770367174,9.52779504136762e-05,0.427011774709758,"not significant"
"29915",-1.14198501877549,0.00473550358781266,0.427011774709758,"not significant"
"3014",1.0402058629616,0.00243123833954466,0.427011774709758,"not significant"
"3018",0.739859746092669,0.0038260460317716,0.427011774709758,"not significant"
"317649",-1.34393837645714,0.00355910278233226,0.427011774709758,"not significant"
"319103",-1.01593323404808,0.00399795917032086,0.427011774709758,"not significant"
"3207",-0.910400540291856,0.00103117403706801,0.427011774709758,"not significant"
"3209",-2.44259309451385,0.000756655813680116,0.427011774709758,"not significant"
"338427",-1.62236892229229,0.0030056554566791,0.427011774709758,"not significant"
"3400",-1.52727656705322,0.00468224563834909,0.427011774709758,"not significant"
"3488",-1.36503516028914,0.00461237887793112,0.427011774709758,"not significant"
"367",-0.805490596779234,0.00132520327348919,0.427011774709758,"not significant"
"379",-1.29023228627513,0.000607972177596411,0.427011774709758,"not significant"
"3815",-1.50880172230896,0.00143231500093825,0.427011774709758,"not significant"
"3838",1.97454678676752,0.00536699340135104,0.427011774709758,"not significant"
"387119",-1.20347643187811,0.000227748941293554,0.427011774709758,"not significant"
"387628",-0.721881995136658,0.00321927220428061,0.427011774709758,"not significant"
"389524",-0.751931662696571,0.00487174017783358,0.427011774709758,"not significant"
"392",-1.0687765373275,0.00519530104555287,0.427011774709758,"not significant"
"395",-0.85101866168081,0.0047774531141455,0.427011774709758,"not significant"
"3953",-0.509314983295848,0.004062255524463,0.427011774709758,"not significant"
"400961",-1.73825364518537,0.00193685777659301,0.427011774709758,"not significant"
"401375",-1.5533913479914,0.00167055104139304,0.427011774709758,"not significant"
"4015",2.7903267885735,0.00208618958254539,0.427011774709758,"not significant"
"4017",0.51477859829975,0.00340732330904257,0.427011774709758,"not significant"
"406915",0.466931835700843,0.00310329358105375,0.427011774709758,"not significant"
"4126",0.661578667119016,0.00514703673924565,0.427011774709758,"not significant"
"4288",3.48933052510745,0.00101176929625818,0.427011774709758,"not significant"
"4306",-1.73335774017406,0.00358736168390314,0.427011774709758,"not significant"
"4345",-1.37793281537616,0.00337524112788935,0.427011774709758,"not significant"
"4605",0.885659474577986,0.00420421603614818,0.427011774709758,"not significant"
"4637",-0.933756495626371,0.00506443440911417,0.427011774709758,"not significant"
"4779",-0.604214807654591,0.00454720724078662,0.427011774709758,"not significant"
"4857",-1.52020038429818,0.00167921773972321,0.427011774709758,"not significant"
"4916",-0.624963866554338,0.00476565157447853,0.427011774709758,"not significant"
"4973",2.67028476990252,0.00268862719195609,0.427011774709758,"not significant"
