"","Gene_Symbol","Entrez","meta_effect_n","val_effect_n","meta_fdr_n","val_fdr_n","auc_n","significance_n","ppi_n","robustness_n","direction_bonus","biomarker_score"
"159","H2BC5","3017",0.485417061243233,0.401658281372673,0.0656145056825905,0.0812067110741832,0.529439374185137,0.391304347826087,0.33003300330033,0.505180278076814,1,38.5072508459889
"160","VEGFA","7422",1,0.0701059659076287,0.532995770756842,0,0,1,0,0.205191756530512,1,38.429350337094
"161","RARB","5915",0,0,0.714648335407872,0.229598046876016,0.584024337244676,0.695652173913043,0.198019801980198,0.33462555709929,1,38.2995843961902
"162","KRT14","3861",0.365641547684305,0.246153998724883,0.0340698787535943,0.0206839661366858,0.741521077792264,0,0.198019801980198,1,1,37.6466647501979
"163","MAP3K20","51776",0,0,0.257400944675035,0.437407491205408,0.848952629291613,0.695652173913043,0,0.0755806006406144,1,37.4203859097602
"164","RORB","6096",0,0,0.58051561229701,0.348856131384325,0.722746631899174,0.565217391304348,0,0.176146428278344,1,37.1514665405951
"165","H2AC20","8338",0.565271224530638,0.336083439624551,0.12334180347242,0.0525191002373266,0.383068231203824,0,0.396039603960396,0.999976142073371,1,36.578540999381
"166","HOXA13","3209",0,0,0.398477067540905,0.229999627155401,0.616358105171664,0.304347826086956,0,0.999996843826737,1,36.5210247910998
"167","SPIRE1","56907",0,0,0.378793801947426,0.174330288104276,0.657731421121252,0.304347826086956,0,1,1,36.4442914160889
"168","CEACAM6","4680",0.404341896189354,0.352793608354904,0.0162755270675896,0.0593968081359599,0.734567579313342,0.0869565217391304,0.022002200220022,0.610751002159094,1,36.4163115554496
"169","CDCA7","83879",0.568628016137071,0.43609878089659,0,0.0980052793258513,0.719269882659713,0.0434782608695652,0.792079207920792,0.0621502738268528,1,36.1471156560414
"170","PNPLA7","375775",0,0,0.0518659090312983,1,0.988022598870057,0.0434782608695652,0,0.00573743840665275,1,35.961956400278
"171","APCDD1","147495",0,0,0.391967623313086,0.184540438972548,0.616010430247719,0.304347826086956,0.022002200220022,1,1,35.9564858660855
"172","NUDT7","283927",0,0,0.56542287202902,0.175689908674287,0.617053455019557,0.130434782608696,0,0.999979324039162,1,35.7994331005268
"173","COL4A6","1288",0,0,0.177975413149852,0.245595147331828,0.641043024771838,0.391304347826087,0.066006600660066,0.999999043533084,1,35.797369632441
"174","PALLD","23022",0,0,0.228152094204174,0.32924067540962,0.87780964797914,0.695652173913043,0,0,1,35.5927322819048
"175","SH3GL2","6456",0,0,0.500386098725746,0.112866436422967,0.351429813124728,1,0.088008800880088,0.578085386877858,1,35.432506955698
"176","MMP12","4321",0.431689116037806,0.328742122807312,0.105163168062402,0.0495919868418189,0.422355497609735,0.0869565217391304,0.088008800880088,1,1,35.2577138183868
"177","EPHX3","79852",0.57259380429141,0.230702040155407,0.189048552813665,0.0160697723034666,0.159860930030422,0.695652173913043,0,0.669234703627071,1,34.9449534474967
