"","Gene_Symbol","Entrez","meta_effect_n","val_effect_n","meta_fdr_n","val_fdr_n","auc_n","significance_n","ppi_n","robustness_n","direction_bonus","biomarker_score"
"129","CCT2","10576",0.66836350655172,0.50238708172254,0.231630221850845,0.133527296630897,0.659817470664928,0.391304347826087,0.176017601760176,0.408632813373563,1,46.2787809838483
"130","MOCOS","55034",0.479490492207419,0.514762025983064,0.150068069795985,0.140629112638173,0.736305953933073,0.0869565217391304,0.022002200220022,0.999997997185214,1,46.2434853559199
"131","CYYR1","116159",0,0,0.446843467877273,0.447350532469657,0.767944372012169,0.565217391304348,0.044004400440044,0.99999653603019,1,46.0038027016807
"132","AXIN2","8313",0,0,0.424918979414778,0.420418338711807,0.787066492829205,0.565217391304348,0.088008800880088,1,1,45.9320127723956
"133","MYH11","4629",0,0,0.493121762388442,0.306986946770771,0.897974793568014,1,0.154015401540154,0.282531546897516,1,45.8481620548665
"134","APOC1","341",0.503542042922682,0.525271434819362,0.0392870960390042,0.146734799098634,0.939695784441547,0.391304347826087,0.022002200220022,0.265252616546169,1,45.843752058906
"135","SPARCL1","8404",0,0,0.393791322952015,0.459953868978592,0.958122555410691,1,0.132013201320132,0.0717913959049393,1,45.5213469743909
"136","RBMS3","27303",0,0,0.557166542078836,0.936220428790575,0.928570186875272,0.391304347826087,0,0.132915425054049,1,45.5168538123919
"137","PDE7B","27115",0,0,0.590614519141106,0.445506348822287,0.745693176879618,0.391304347826087,0,0.999988597985051,1,45.0428521069166
"138","TNFSF12","8742",0,0,0.457715110824682,0.425589323256136,0.815575836592786,0.695652173913043,0.044004400440044,0.628014891602383,1,44.671158145126
"139","ALDH2","217",0,0,0.407083362742448,0.199792292666876,0.715445458496306,1,0.132013201320132,0.766516741644839,1,44.6526240552468
"140","TMEM245","23731",0,0,0.853359242849498,0.148965219188001,0.485284658843981,0.826086956521739,0,0.999990763519121,1,44.6465378347817
"141","IGFBP5","3488",0,0,0.379458533320126,0.152936441806996,0.819747935680139,0.695652173913043,0.066006600660066,1,1,44.329544304065
"142","TFAP2A","7020",0.508158463828263,0.442312796043561,0.0368129848111752,0.101152239067611,0.776983920034768,0.695652173913043,0.066006600660066,0.211014073666702,1,44.1578453510501
"143","PODXL2","50512",0.729296658036512,0.357642521460674,0.178355799889432,0.0614635278536639,0.705710560625815,0.695652173913043,0,0.0578816671313293,1,44.1358344166639
"144","TM7SF2","7108",0.658915047677062,0.329043935112266,0.418145373891165,0.0497108222835682,0.493976531942634,0.0869565217391304,0.022002200220022,0.999954895283308,1,43.4342645663628
"145","TMEM35A","59353",0,0,0.601267361237931,0.40568014473688,0.682068665797479,0.391304347826087,0,0.999995917022051,1,43.4203547317809
"146","GAS6","2621",0,0,0.61681328179088,0.212187524723759,0.755428074750109,0.391304347826087,0.044004400440044,0.999988654083689,1,42.8841230892479
"147","KBTBD11","9920",0,0,0.727371422107969,0.275064524913465,0.636870925684485,0.391304347826087,0,0.999960575433272,1,42.4619078061927
"148","FAIM2","23017",0,0,0.457438333120268,0.711915424816228,0.844085180356367,0.695652173913043,0.022002200220022,0,1,42.3277813899819
"149","SPP1","6696",0.483195711094426,0.330978102976363,0.161468562041904,0.0504677842535619,0.480417209908735,0.391304347826087,0.286028602860286,0.999996191084836,1,42.1037136440536
"150","CYGB","114757",0,0,0.526798589670468,0.335124622168911,0.735262929161234,0.304347826086956,0,0.999974144653889,1,41.7002524848796
"151","AATBC","284837",0.721616516763418,0.287745454057809,0.276441825584833,0.0343195171757386,0.398018252933507,0.217391304347826,0,0.999984814603699,1,41.4291125615051
"152","PLN","5350",0,0,0.38860200920861,0.640205237076129,0.762729248152977,0.0434782608695652,0.066006600660066,0.999977413144139,1,41.3198049823328
"153","SLC7A5","8140",0.565092686226446,0.400261470686786,0.289178183625375,0.0805441598812643,0.436262494567579,0.0869565217391304,0.11001100110011,0.999993854282763,1,41.050326017214
"154","CA2","760",0.5809472458374,0.285537019056067,0.235051629170446,0.0335442337205296,0.41470664928292,0.391304347826087,0.066006600660066,0.801685278023708,1,39.558587804989
"155","ARMCX1","51309",0,0,0.109377902102229,0.605606423215307,0.872942199043894,0.695652173913043,0,0.173786405297414,1,39.124346024619
"156","SBDS","51119",0,0,0.600151205282568,0.183805945452107,0.488761408083442,0.565217391304348,0.022002200220022,0.999988896416948,1,39.0312182309667
"157","LAMC3","10319",0,0,0.334498828369706,0.651829631462355,0.780808344198175,0.695652173913043,0,0.00538724909372079,1,38.853806979842
"158","PALM","5064",0,0,0.248694046739633,0.487818675424342,0.787066492829205,0.0869565217391304,0,0.999987459028804,1,38.6228353737094
