"","GSE76211_logFC","GSE76211_SE","GSE76211_logFC_scaled","GSE76211_SE_scaled"
"100033806",-1.98731466474971,0.508718334209055,-4.52549918859919,1.17057602355563
"100033807",-1.1888431951103,0.383874161582384,-2.68819257902646,0.883305867694952
"100033809",-0.374156746007953,0.123779928058156,-0.813574819244714,0.284821297442714
"100033811",-0.0221368167110874,0.0927626441748414,-0.00356648783803684,0.213449604330693
"100033812",-1.03615740057837,0.16839333649036,-2.33685802275477,0.387478077684433
"100033813",-0.971559677925009,0.170482296411531,-2.18821674087156,0.392284836618516
"100033814",-2.19630981623101,0.681650638589941,-5.00640325065499,1.56849840140983
"100033815",-1.13187744120426,0.223979212350811,-2.55711268431449,0.515382831956262
"100033816",-2.69443237204046,0.831977608010918,-6.15259807284352,1.91440523091612
"100033817",-2.94909130627221,0.828783289007378,-6.73857585770043,1.90705500784436
"100033818",-1.93497042517204,0.498611819908062,-4.40505353586656,1.14732063343714
"100033821",-1.39894983735752,0.235513281805608,-3.17165421440622,0.541923068959522
"100033822",-0.117494050741599,0.178146067151476,-0.222986320626743,0.409919401121002
"100034743",0.241652643893231,0.149275574757782,0.603420909874261,0.343487539102806
"100036563",-0.970024887589518,0.283093331873632,-2.18468514264304,0.651406179875505
"100036564",-0.451179103478442,0.181430364406849,-0.990805555528016,0.417476666827469
"100036565",-0.73597706013227,0.234520382665564,-1.64613412774261,0.539638378495294
"100036566",-0.0373835231078647,0.0462926025260142,-0.0386496129115783,0.106520655814765
"100036567",0.0341006713615406,0.0759146860571011,0.125837645522255,0.174681951403147
"100037417",0.0716298136232005,0.112564561168876,0.212193318518414,0.259014404525472
"100038246",0.108426845501332,0.12071538362408,0.296864383738666,0.277769689516633
"10004",-0.0973484055704548,0.145745152662054,-0.176630591669057,0.335363932815416
"100048912",0.0223617874794115,0.0463326426848043,0.0988261244276037,0.106612789411506
"100049076",-0.275342748501894,0.44857473797896,-0.586200870845313,1.03218381910163
"100049587",0.246178012518787,0.210456009646634,0.613833917730687,0.484265540160981
"100049716",0.0855234720665372,0.110077233759695,0.24416303999214,0.253290990148344
"10005",0.0555187433250106,0.109341966066067,0.175121266389209,0.251599117307955
"10006",0.192057800991174,0.247267369793083,0.489301700698482,0.56896957515296
"10007",0.0388475028648614,0.200464353897336,0.136760246049883,0.461274442987466
"100073347",0.188603952837873,0.138972189499303,0.481354293331021,0.319779143053379
"10008",0.54814451103849,0.284498911610903,1.30866781561602,0.654640460672961
"10009",0.504835493909749,0.498419661366502,1.20901247857478,1.14687847091547
"100093630",-0.49849672600348,0.447130658841528,-1.09968481285925,1.02886095003888
"100093631",0.0432436304407879,0.575985434472381,0.146875866405639,1.32535962274474
"100093698",0.0111599760752714,0.122225883081197,0.0730504230850019,0.281245393711263
"1001",1.29054454736509,0.864409273434277,3.01695238877163,1.98903145803567
"10010",0.360904757230494,0.367743222076214,0.877823570922395,0.846188095926992
"100101266",0.132884544046203,0.2316393715641,0.353142275811281,0.533009086228456
"100101267",0.143065051769544,0.201934904858366,0.376567926996223,0.46465822450396
"100101467",-0.0979900522328219,0.160634047720199,-0.178107039730889,0.36962372335235
"100101490",0.556633438002669,0.398395718564322,1.32820108914239,0.91672040238866
"100101938",-0.00256044543740908,0.0716996557325171,0.0414793249432537,0.164983041211145
"10011",0.121001674514401,0.225853057454829,0.325799439452545,0.519694605295495
"100113378",-0.478836261508262,0.354927048474704,-1.05444549907307,0.816697699134079
"100113379",0.556778634799822,0.618746795213624,1.32853519129286,1.42375478614324
"100113380",-0.267072384369607,0.236147901004507,-0.567170516898306,0.543383346618817
"100113382",-0.307098513416195,0.16303214042531,-0.659271830782592,0.375141806020299
"100113384",0.574712768031659,0.82361363819929,1.36980216547629,1.89515948751578
"100113386",0.0141084380158905,0.0931435457647294,0.0798349217396869,0.214326070222473
"100113389",-0.519885660628643,0.244044782884661,-1.1489013878438,0.561554306790974
"100113391",-0.961673927017693,0.297931589559036,-2.16546933389057,0.685549452311086
"100113392",0.194041610419447,0.41230774643795,0.493866505219732,0.948732392468056
"100113393",0.638786548713949,0.734774088384233,1.51723784129455,1.69073704003574
"100113402",0.37504282811638,0.224384998095126,0.910355692698741,0.516316557027788
"100113404",0.0519713560603123,0.06377843272309,0.166958622743234,0.146756071376278
"100113407",-0.0855458098207658,0.276997229861544,-0.14947246767145,0.637378867760651
"100124412",-0.00976199285713797,0.0356952530770602,0.0249083500537005,0.082135839416368
"100124516",0.451521164469868,0.945459344521742,1.08633462020487,2.17553008319329
"100124533",-0.531246823632709,0.265915439345198,-1.17504376195922,0.611879338051998
"100124534",0.300777111578141,0.468883098575621,0.739468069222371,1.07891396109491
"100124535",-0.00466871058513885,0.126979545470697,0.0366281441084456,0.292183712311238
"100124536",0.201412621174285,0.863746778967202,0.510827420285628,1.98750703855489
"100124537",0.280248904927307,0.26446701486616,0.692232054917083,0.608546470228925
"100124538",0.232359198240067,0.24972214828823,0.582036414906676,0.574618093510425
"100124539",0.200780930494242,0.275476997756949,0.509373881235356,0.633880768454589
"100124540",-0.209562090707479,0.122479627214454,-0.434837620005178,0.281829266511858
"100124700",-0.0425595310026834,0.165308161399049,-0.0505597610858713,0.380378998002207
"100125556",0.0614813293073091,0.229336948553845,0.188841354146847,0.527711142374952
