"gene","significance_GSE13507","significance_GSE3167","significance_GSE37817","significance_GSE52519","significance_GSE65635","significance_GSE7476","significance_GSE76211","score"
"9470","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"9472","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"9473","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"9474","not significant","significant","not significant","not significant","not significant","not significant","not significant",0.142857142857143
"9475","not significant","not significant","not significant","not significant","significant","significant","not significant",0.285714285714286
"9476","not significant",NA,"not significant","not significant","not significant","not significant","not significant",0
"9477","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"9478","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"9479","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"948","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"9480","not significant","not significant","not significant",NA,"not significant","significant","not significant",0.122448979591837
"9481","not significant",NA,"not significant","not significant","not significant","not significant","not significant",0
"9482","not significant","not significant","not significant","not significant","significant","not significant","not significant",0.142857142857143
"9486","not significant","not significant","not significant","not significant","significant","not significant","not significant",0.142857142857143
"9487","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"9488","not significant","not significant","not significant","not significant","significant","not significant","not significant",0.142857142857143
"9489",NA,"not significant",NA,"not significant","not significant","not significant","not significant",0
"949","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"9491","not significant","significant","not significant","not significant","not significant","not significant","not significant",0.142857142857143
"9493","not significant","not significant","not significant","not significant","significant","not significant","not significant",0.142857142857143
"9495","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"9496","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"9497","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"9498","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"9499","significant","not significant","significant",NA,"significant","significant","not significant",0.489795918367347
"95","not significant","significant","not significant","not significant","significant","significant","not significant",0.428571428571429
"950","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"9500","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"9501","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"9502","not significant",NA,"not significant",NA,"not significant","not significant","not significant",0
"9503","not significant",NA,NA,NA,NA,NA,NA,0
"9506","significant","not significant","not significant",NA,"not significant","not significant","not significant",0.122448979591837
"9507","not significant",NA,"not significant",NA,"not significant","not significant","not significant",0
"9508","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"9509","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"951","not significant","not significant","significant","not significant","not significant","not significant","not significant",0.142857142857143
"9510","significant","not significant","not significant","not significant","significant","significant","not significant",0.428571428571429
"9512","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"9513","not significant","not significant","not significant","not significant","not significant","not significant","not significant",0
"9514","not significant","not significant","not significant",NA,"not significant","not significant","not significant",0
"9515",NA,"not significant",NA,NA,"not significant","not significant","not significant",0
"9516","significant","not significant","not significant","not significant","not significant","not significant","not significant",0.142857142857143
